service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
2027_HIVER-BATO_A10-Semaine-02,1,1,1,1,1,0,0,20261012,20261224
2027_HIVER-BATO_A10-Semaine-03,1,1,1,1,1,0,0,20260928,20261002
2027_HIVER-BATO_A10-Semaine-04,1,1,1,1,1,0,0,20261005,20261009
2027_HIVER-BATO_B01-Samedi-02,0,0,0,0,0,1,0,20261017,20261219
2027_HIVER-BATO_B01-Samedi-04,0,0,0,0,0,1,0,20261003,20261010
2027_HIVER-BATO_C01-Dimanche-02,0,0,0,0,0,0,1,20261018,20261220
2027_HIVER-BATO_C01-Dimanche-04,0,0,0,0,0,0,1,20261004,20261011
2027_HIVER-FLEX_A00-Jeu-Ven-01-0001100,0,0,0,1,1,0,0,20261001,20261224
2027_HIVER-FLEX_B00-Samedi-01,0,0,0,0,0,1,0,20261003,20261219
2027_HIVER-M01_A00-Jeu-Ven-06,0,0,0,1,1,0,0,20261008,20261218
2027_HIVER-M01_A00-Jeu-Ven-06-0001100,0,0,0,1,1,0,0,20261008,20261218
2027_HIVER-M01_A00-Lun-Mer-05,1,1,1,0,0,0,0,20261005,20261216
2027_HIVER-M01_A00-Lun-Mer-07,1,1,1,0,0,0,0,20260928,20260930
2027_HIVER-M01_A01-Jeu-Ven-08,0,0,0,1,1,0,0,20261001,20261002
2027_HIVER-M01_A01-Jeu-Ven-08-0001100,0,0,0,1,1,0,0,20261001,20261002
2027_HIVER-M01_B01-Samedi-02,0,0,0,0,0,1,0,20261010,20261219
2027_HIVER-M01_B01-Samedi-03,0,0,0,0,0,1,0,20261003,20261003
2027_HIVER-M01_C00-Dimanche-03,0,0,0,0,0,0,1,20261011,20261220
2027_HIVER-M01_C00-Dimanche-04,0,0,0,0,0,0,1,20261004,20261004
2027_HIVER-M02_A10-Lun-Mer-16,1,1,1,0,0,0,0,20260928,20261216
2027_HIVER-M02_A11-Jeu-Ven-17,0,0,0,1,1,0,0,20261001,20261218
2027_HIVER-M02_A11-Jeu-Ven-17-0001100,0,0,0,1,1,0,0,20261001,20261218
2027_HIVER-M02_B01-Samedi-05,0,0,0,0,0,1,0,20261003,20261219
2027_HIVER-M02_C00-Dimanche-04,0,0,0,0,0,0,1,20261004,20261220
2027_HIVER-M04_A00-Lun-Mer-01,1,1,1,0,0,0,0,20260928,20261216
2027_HIVER-M04_A01-Jeu-Ven-02,0,0,0,1,1,0,0,20261001,20261218
2027_HIVER-M04_A01-Jeu-Ven-02-0001100,0,0,0,1,1,0,0,20261001,20261218
2027_HIVER-M04_B01-Samedi-01,0,0,0,0,0,1,0,20261003,20261219
2027_HIVER-M04_C00-Dimanche-01,0,0,0,0,0,0,1,20261004,20261220
2027_HIVER-M05_A10-Lun-Mer-03,1,1,1,0,0,0,0,20260928,20260930
