route_id,route_short_name,route_long_name,route_type,trip_count,service_count,stop_count
60,B,Tram B,0,4327,10,73
59,A,Tram A,0,3728,10,89
62,D,Tram D,0,2706,10,50
05,5,Lianes 5,3,2560,19,131
31,31,Lianes 31,3,2382,25,204
61,C,Tram C,0,2320,10,64
901,G,BUS EXPRESS G,3,2266,11,104
163,E,Tram E,0,2201,10,81
09,9,Lianes 9,3,2082,16,65
164,F,Tram F,0,1986,10,69
01,1,Lianes 1,3,1824,16,110
15,15,Lianes 15,3,1388,11,123
04,4,Lianes 4,3,1374,11,78
16,16,Lianes 16,3,1364,11,60
911,H1,BUS EXPRESS H1,3,1201,20,52
912,H2,BUS EXPRESS H2,3,1189,20,54
23,23,Principale 23,3,1140,15,112
07,7,Lianes 7,3,1009,11,127
02,2,Lianes 2,3,998,11,110
08,8,Lianes 8,3,978,11,60
35,35,Lianes 35,3,909,11,182
951,951,LE BATO 1,4,599,10,2
952,952,LE BATO 2,4,592,10,4
24,24,Principale 24,3,571,8,150
26,26,Principale 26,3,560,11,65
25,25,Principale 25,3,531,7,86
20,20,Principale 20,3,486,7,97
22,22,Principale 22,3,446,7,70
34,34,Locale 34,3,435,7,91
27,27,Principale 27,3,422,7,114
32,32,Locale 32,3,405,5,71
28,28,Principale 28,3,404,7,69
74,74,Locale 74,3,394,7,54
70,70,Locale 70,3,388,7,66
38,38,Locale 38,3,383,9,83
80,80,Locale 80,3,354,6,70
29,29,Principale 29,3,331,13,71
460,60,Locale 60,3,314,6,109
39,39,Lianes 39,3,288,6,124
30,30,Locale 30,3,274,5,96
71,71,Locale 71,3,265,7,98
953,953,LE BATO 3,4,252,10,3
73,73,Locale 73,3,250,6,153
78,78,Locale 78,3,247,7,84
33,33,Locale 33,3,242,4,111
84,84,Locale 84,3,229,7,76
76,76,Locale 76,3,204,6,47
37,37,Locale 37,3,200,6,95
82,82,Locale 82,3,196,5,73
439,39 Est,Ligne 39 Est,3,184,4,40
77,77,Locale 77,3,182,5,101
83,83,Locale 83,3,182,5,44
75,75,Locale 75,3,180,4,59
19,Arena,Navette Arena,3,172,4,15
72,72,Locale 72,3,170,4,66
461,61,Locale 61,3,168,6,84
64,64,Locale 64,3,163,3,36
469,69,Locale 69,3,156,4,71
89,89,Locale 89,3,156,4,77
66,66,Locale 66,3,126,3,44
87,87,Locale 87,3,126,3,64
85,85,Locale 85,3,116,2,36
764,Bus F,Bus Relais F,3,107,2,71
58,TBNight,TBNight N1,3,106,6,91
65,65,Locale 65,3,104,4,39
67,67,Locale 67,3,69,3,25
51,51,Directe 51,3,64,2,37
759,Bus A,Bus Relais A,3,57,1,32
55,55,Directe 55,3,54,3,29
454,54,Directe 54,3,52,2,46
568,Artigues,Flex' Artigues,3,52,4,38
57,57,Directe 57,3,48,3,32
53,53,Directe 53,3,24,3,59
822,S22,SCODI S22,3,13,5,41
811,S11,SCODI S11,3,10,5,27
858,S58,SCODI S58,3,10,5,82
501,N1,TBNight N8,3,9,4,23
502,N2,TBNight N2,3,9,4,26
503,N3,TBNight N3,3,9,4,20
504,N4,TBNight N4,3,9,4,27
505,N5,TBNight N5,3,9,4,26
506,N6,TBNight N6,3,9,4,24
507,N7,TBNight N7,3,9,4,23
821,S21,SCODI S21,3,9,5,34
853,S53,SCODI S53,3,7,5,58
854,S54,SCODI S54,3,7,5,37
856,S56,SCODI S56,3,7,5,60
810,S10,SCODI S10,3,5,5,29
813,S13,SCODI S13,3,5,5,18
814,S14,SCODI S14,3,5,5,33
815,S15,SCODI S15,3,5,5,19
816,S16,SCODI S16,3,5,5,27
817,S17,SCODI S17,3,5,5,29
819,S19,SCODI S19,3,5,5,32
801,S1,SCODI S01,3,5,5,35
824,S24,SCODI S24,3,5,5,51
825,S25,SCODI S25,3,5,5,53
826,S26,SCODI S26,3,5,5,51
