stop_id,stop_code,stop_name,stop_lat,stop_lon,wheelchair_boarding,parent_station
BMAI81,BMAI81,10 Mai 1981,45.00774400,-0.52496000,0,
B11N95,B11N95,11 Novembre,44.89488000,-0.50116200,0,
B14JU45,B14JU45,14 Juillet,44.82260100,-0.59344100,0,
B14JUIL,B14JUIL,14 Juillet,44.80769900,-0.54755100,0,
B19MA91,B19MA91,19 Mars 1962,45.01237300,-0.53570200,0,
BMARS62,BMARS62,19 Mars 1962,44.87744800,-0.64211200,0,
B4PAVI,B4PAVI,4 Pavillons,44.86615400,-0.51394300,0,
B45PARA,B45PARA,45ème Parallèle,44.83175500,-0.69391600,0,
BMETEO,BMETEO,45ème Parallèle,44.83169300,-0.69388700,0,
B5CHEMI,B5CHEMI,5 Chemins,44.86081200,-0.69610800,0,
BTESPA,BTESPA,5 Chemins,44.86130300,-0.69490500,0,
B8Mai4,B8Mai4,8 Mai 1945,44.86723600,-0.60262300,0,
B8Mai45,B8Mai45,8 Mai 1945,44.85190000,-0.51115700,0,
BMAI36,BMAI36,8 Mai 1945,44.86520600,-0.63844100,0,
BTABERN,BTABERN,Abel Gance,44.87858300,-0.50022100,0,
BACACI,BACACI,Acacias,44.88524900,-0.52907800,0,
BACAPES,BACAPES,Acacias,44.78946500,-0.63697900,0,
BAFPA,BAFPA,AFPA Pessac,44.79017700,-0.64987100,0,
BAGRIE,BAGRIE,Agrières,44.91100300,-0.68118900,0,
BAIA,BAIA,AIA,44.82712500,-0.53822900,0,
BACESAI,BACESAI,Aimé Césaire,44.87804800,-0.66410000,0,
BSCOAMA,BSCOAMA,Albert Marquet,44.87554300,-0.69560200,0,
BALBRET,BALBRET,Albret,44.83303100,-0.58193400,0,
BLANCON,BLANCON,Alcide Lançon,44.91091500,-0.64121600,0,
BSCOALF,BSCOALF,Alfred de Vigny,44.83039500,-0.63305000,0,
TVIGNY,TVIGNY,Alfred de Vigny,44.83023000,-0.63395800,0,
BSCOALI,BSCOALI,Alienor,44.78777400,-0.68719000,0,
BALLAR,BALLAR,Allard,44.87778500,-0.59149300,0,
BALL22,BALL22,Allende,44.80060200,-0.55764700,0,
BALLE40,BALLE40,Allende,44.78899600,-0.58707700,0,
BALLEN,BALLEN,Allende,44.86738900,-0.52220100,0,
BACURE,BACURE,Allée de Curé,44.91141200,-0.68492800,0,
BCHAMBR,BCHAMBR,Allée de la Chambre,44.93435100,-0.75793500,0,
BPRAIRI,BPRAIRI,Allée de la Prairie,44.84840900,-0.64383200,0,
BBECASS,BBECASS,Allée des Bécasses,44.93173100,-0.75996700,0,
BAPINS,BAPINS,Allée des Pins,44.83634500,-0.60178700,0,
BANORD,BANORD,Allée du Nord,44.91414900,-0.74211900,0,
BAVIEIL,BAVIEIL,Allée Vieille,44.87878400,-0.73637500,0,
BALOHA,BALOHA,Aloha,44.91571800,-0.68035100,0,
BALOUET,BALOUET,Alouette,44.81835100,-0.65862900,0,
BDAUDE,BDAUDE,Alphonse Daudet,44.79317100,-0.63926300,0,
BDANDI,BDANDI,Alphonse Dupeux,44.83026700,-0.58700300,0,
BFSOURD,BFSOURD,Alphonse Dupeux,44.82990400,-0.58777200,0,
BAMBCEN,BAMBCEN,Ambarès Centre,44.92672000,-0.48700100,0,
BAMBAR,BAMBAR,Ambarès Eglise,44.92442500,-0.48416900,0,
BSCOAMB,BSCOAMB,Ambroise Paré,44.89728800,-0.77146200,0,
BAMBEGL,BAMBEGL,Ambès Eglise,45.01367600,-0.53016800,0,
BAMPERE,BAMPERE,Ampère-Grand Parc,44.86240500,-0.58466700,0,
BNAVAR,BNAVAR,Amédée Larrieu,44.82968500,-0.58143800,0,
BGERMAI,BGERMAI,Amédée St Germain,44.81792000,-0.56241600,0,
BAFR21,BAFR21,Anatole France,44.76647400,-0.58011800,0,
BAFRAN,BAFRAN,Anatole France,44.84626900,-0.53576200,0,
BABATT,BABATT,Anciens Abattoirs,44.81713800,-0.60569600,0,
BEUSTA,BEUSTA,André Eustache,44.81198000,-0.64037400,0,
BARICAR,BARICAR,André Ricard,44.85960300,-0.53973100,0,
BPLACAN,BPLACAN,Anita Conti,44.93273800,-0.62045400,0,
BANSPOR,BANSPOR,Antennes Sportives,44.89783900,-0.57149300,0,
BSCOANT,BSCOANT,Antonic,44.91751400,-0.67631400,0,
BSCONIC,BSCONIC,Antonic,44.91751500,-0.67627600,0,
