ligne_tbm,compteurs_associes,arrets_associes,indice_moyen_matin,indice_moyen_soir,comptage_5m_moyen,distance_arret_moyenne_m,retard_moyen_secondes,retard_p95_secondes,retard_max_secondes,arrets_temps_reel,trajets_temps_reel,part_arrets_en_retard,collecte_temps_reel
37,5,4,0.123992,0.078962,13.333333,151.060000,94.1,191.0,213.0,128,3,0.664062,2026-09-25T12:33:26.033988+00:00
75,10,6,0.106747,0.078545,15.400000,151.180000,88.6,315.0,325.0,77,3,0.493506,2026-09-25T12:33:26.033988+00:00
S11,2,2,0.091819,0.091981,28.500000,115.700000,,,,,,,
S17,2,2,0.091819,0.091981,28.500000,115.700000,,,,,,,
89,12,6,0.090832,0.070611,22.600000,153.408333,69.6,184.0,185.0,118,4,0.752137,2026-09-25T12:33:26.033988+00:00
87,23,10,0.088629,0.081858,19.850000,158.900000,38.7,317.0,428.0,313,10,0.453674,2026-09-25T12:33:26.033988+00:00
85,13,7,0.088591,0.070503,22.818182,108.115385,44.9,149.0,150.0,72,4,0.486111,2026-09-25T12:33:26.033988+00:00
84,8,7,0.083686,0.071770,32.166667,132.050000,63.6,239.0,250.0,171,5,0.777778,2026-09-25T12:33:26.033988+00:00
28,22,13,0.080941,0.083380,11.722222,114.081818,57.7,229.0,291.0,306,10,0.815789,2026-09-25T12:33:26.033988+00:00
S1,7,5,0.080848,0.090072,4.750000,113.642857,,,,,,,
S2,7,5,0.080848,0.090072,4.750000,113.642857,,,,,,,
39,22,14,0.080644,0.086270,23.944444,143.081818,34.5,428.0,892.0,517,11,0.848684,2026-09-25T12:33:26.033988+00:00
S3,5,4,0.080613,0.081710,4.750000,152.540000,,,,,,,
S48,5,3,0.080414,0.073643,32.400000,137.820000,,,,,,,
S50,5,3,0.080414,0.073643,32.400000,137.820000,,,,,,,
953,3,2,0.080027,0.085467,18.666667,231.766667,50.7,177.0,177.0,10,4,0.400000,2026-09-25T12:33:26.033988+00:00
Arena,23,9,0.079793,0.078656,25.000000,164.234783,,,,,,,
61,6,5,0.078954,0.070744,38.666667,97.300000,50.9,207.0,251.0,158,5,0.759494,2026-09-25T12:33:26.033988+00:00
S46,1,1,0.078706,0.096841,15.000000,33.500000,,,,,,,
952,5,3,0.078238,0.083607,5.400000,233.960000,32.5,271.0,429.0,70,18,0.157143,2026-09-25T12:33:26.033988+00:00
S49,3,1,0.077218,0.076678,25.666667,129.466667,,,,,,,
65,16,8,0.076949,0.090140,4.777778,122.187500,82.4,275.0,307.0,85,5,0.894118,2026-09-25T12:33:26.033988+00:00
Bus A,23,15,0.076766,0.081591,18.055556,165.252174,,,,,,,
53,22,13,0.075397,0.074817,35.650000,119.290909,,,,,,,
33,42,23,0.074911,0.084641,23.360000,149.538095,234.8,1174.0,1393.0,698,14,0.698709,2026-09-25T12:33:26.033988+00:00
78,14,8,0.074643,0.081038,33.900000,109.828571,19.8,196.0,215.0,393,9,0.644886,2026-09-25T12:33:26.033988+00:00
66,13,7,0.074443,0.070900,19.666667,178.461538,26.2,182.0,195.0,90,4,0.711111,2026-09-25T12:33:26.033988+00:00
25,23,13,0.074197,0.075593,26.444444,135.808696,-55.3,240.0,245.0,794,26,0.598726,2026-09-25T12:33:26.033988+00:00
82,38,23,0.073867,0.075780,16.807692,136.850000,76.6,1060.0,1209.0,337,9,0.641509,2026-09-25T12:33:26.033988+00:00
32,31,20,0.073566,0.086025,16.500000,158.893548,65.4,187.0,3573.0,498,16,0.656051,2026-09-25T12:33:26.033988+00:00
S39,5,3,0.073288,0.094354,11.333333,159.960000,,,,,,,
73,47,27,0.072589,0.081514,12.147059,141.946809,66.8,288.0,331.0,606,11,0.613861,2026-09-25T12:33:26.033988+00:00
77,26,17,0.072384,0.089427,27.150000,112.834615,121.1,308.0,392.0,288,6,0.809028,2026-09-25T12:33:26.033988+00:00
60,25,14,0.072198,0.081056,16.166667,146.616000,150.0,663.0,780.0,470,11,0.910638,2026-09-25T12:33:26.033988+00:00
74,15,9,0.072192,0.089684,25.727273,110.560000,19.5,142.0,244.0,489,18,0.421268,2026-09-25T12:33:26.033988+00:00
S36,2,1,0.072168,0.081850,,249.050000,,,,,,,
54,36,19,0.072112,0.077200,20.560000,158.563889,-20400.0,-20400.0,-20400.0,25,1,0.000000,2026-09-25T12:33:26.033988+00:00
27,41,23,0.071863,0.074275,25.703704,160.648780,-8.3,354.0,490.0,746,17,0.534759,2026-09-25T12:33:26.033988+00:00
35,73,40,0.071858,0.082101,23.000000,140.894521,98.2,372.0,782.0,2142,29,0.768924,2026-09-25T12:33:26.033988+00:00
30,27,15,0.071629,0.087018,22.333333,150.822222,77.8,228.0,290.0,300,9,0.623333,2026-09-25T12:33:26.033988+00:00
26,7,4,0.071602,0.096521,21.571429,185.071429,67.3,296.0,398.0,268,9,0.664179,2026-09-25T12:33:26.033988+00:00
S47,4,2,0.071444,0.110517,15.000000,244.450000,,,,,,,
E,87,47,0.070730,0.073994,19.600000,154.773563,14.4,119.0,641.0,2813,105,0.137106,2026-09-25T12:33:26.033988+00:00
8,26,14,0.070655,0.084286,12.952381,117.692308,67.6,389.0,490.0,467,17,0.611588,2026-09-25T12:33:26.033988+00:00
31,71,39,0.070618,0.079088,25.038462,139.766197,75.8,414.0,587.0,1246,24,0.630819,2026-09-25T12:33:26.033988+00:00
N4,52,18,0.070590,0.074017,22.586957,154.563462,,,,,,,
24,96,47,0.070152,0.077721,50.589041,125.210417,93.7,384.0,1497.0,3658,49,0.714286,2026-09-25T12:33:26.033988+00:00
4,78,36,0.070004,0.080133,57.750000,129.032051,70.2,422.0,1001.0,2839,78,0.383280,2026-09-25T12:33:26.033988+00:00
80,64,27,0.069808,0.076052,67.381818,136.056250,-6.1,63.0,216.0,1440,40,0.505007,2026-09-25T12:33:26.033988+00:00
1,96,41,0.069571,0.074570,48.088608,141.258333,42.1,296.0,589.0,2992,61,0.386202,2026-09-25T12:33:26.033988+00:00
72,24,13,0.069520,0.078864,37.500000,108.962500,79.5,180.0,233.0,149,6,0.657718,2026-09-25T12:33:26.033988+00:00
S38,3,2,0.069457,0.093118,15.000000,167.266667,,,,,,,
7,36,23,0.069426,0.078021,27.935484,125.141667,27.4,213.0,1144.0,3053,59,0.742184,2026-09-25T12:33:26.033988+00:00
C,74,39,0.069211,0.075139,21.292308,154.394595,16.3,106.0,701.0,3031,108,0.115761,2026-09-25T12:33:26.033988+00:00
H2,95,34,0.069137,0.071407,33.462500,147.904211,39.1,243.0,606.0,2601,50,0.703543,2026-09-25T12:33:26.033988+00:00
S33,10,5,0.069059,0.081002,21.000000,168.660000,,,,,,,
5,90,44,0.068920,0.070043,51.333333,123.548889,55.0,304.0,1349.0,4288,92,0.542972,2026-09-25T12:33:26.033988+00:00
H1,94,35,0.068605,0.071001,35.275000,153.363830,21.1,148.0,289.0,2317,48,0.393612,2026-09-25T12:33:26.033988+00:00
