ident,type,zone,commune,code_commune,latitude,longitude,comptage_5m,mesure_timestamp,hpm_val_2022,hps_val_2022,mjo_val_2022,indice_congestion_matin,indice_congestion_soir,donnee_annuelle_disponible
Z24CT5,BOUCLE,24,Le Haillan,33200,44.8684058,-0.6711977,38,2026-09-25T14:20:00+02:00,644,564,6250,0.103040,0.090240,oui
Z24CT2,BOUCLE,24,Eysines,33162,44.863922,-0.6603229,29,2026-09-25T14:20:00+02:00,,,,,,non
Z24CT4,BOUCLE,24,Le Haillan,33200,44.8778901,-0.681077,22,2026-09-25T14:20:00+02:00,,,,,,non
Z6CT3,BOUCLE,6,Bordeaux,33063,44.8347986,-0.5987533,59,2026-09-25T14:20:00+02:00,839,1041,15246,0.055031,0.068280,oui
Z6CT4,BOUCLE,6,Bordeaux,33063,44.8387194,-0.5991125,,2012-11-09T08:18:08+01:00,,,,,,non
Z6CT2,BOUCLE,6,Bordeaux,33063,44.839874,-0.5993177,65,2026-09-25T14:20:00+02:00,1010,886,14947,0.067572,0.059276,oui
Z6CT5,BOUCLE,6,Bordeaux,33063,44.8407057,-0.5928835,0,2026-09-25T14:20:00+02:00,,,,,,non
Z6CT6,BOUCLE,6,Bordeaux,33063,44.8400555,-0.6013362,0,2026-09-25T14:20:00+02:00,,,,,,non
Z6CT19,BOUCLE,6,Bordeaux,33063,44.8395507,-0.6078614,31,2026-09-25T14:20:00+02:00,743,808,10064,0.073828,0.080286,oui
Z6CT10,BOUCLE,6,Mérignac,33281,44.8383701,-0.6140944,0,2026-09-25T14:20:00+02:00,,,,,,non
Z6CT12,BOUCLE,6,Bordeaux,33063,44.8367576,-0.5968019,17,2026-09-25T14:20:00+02:00,576,584,7601,0.075780,0.076832,oui
Z27CT7,BOUCLE,27,Pessac,33318,44.8087492,-0.6626396,15,2026-09-25T14:20:00+02:00,421,518,5349,0.078706,0.096841,oui
Z27CT6,BOUCLE,27,Pessac,33318,44.8025503,-0.663169,70,2026-09-25T14:20:00+02:00,1239,939,13869,0.089336,0.067705,oui
Z27CT3,BOUCLE,27,Pessac,33318,44.7996996,-0.6619426,29,2026-09-25T14:20:00+02:00,496,661,6974,0.071121,0.094781,oui
Z27CT5,BOUCLE,27,Pessac,33318,44.7970702,-0.6619654,29,2026-09-25T14:20:00+02:00,230,431,4320,0.053241,0.099769,oui
Z27CT11,BOUCLE,27,Pessac,33318,44.7973367,-0.6656195,37,2026-09-25T14:20:00+02:00,408,673,7696,0.053015,0.087448,oui
Z22CT12,BOUCLE,22,Lormont,33249,44.879945,-0.5181813,14,2026-09-25T14:20:00+02:00,370,301,3735,0.099063,0.080589,oui
Z22CT13,BOUCLE,22,Cenon,33119,44.8667967,-0.5091879,0,2026-09-25T14:20:00+02:00,948,1084,17171,0.055209,0.063130,oui
Z22CT4,BOUCLE,22,Lormont,33249,44.8668593,-0.5092224,0,2026-09-25T14:20:00+02:00,1068,924,14054,0.075993,0.065746,oui
Z5CT18,BOUCLE,5,Bordeaux,33063,44.8308671,-0.5554624,0,2026-09-25T14:20:00+02:00,,,,,,non
Z8CT14,BOUCLE,8,Bordeaux,33063,44.840426,-0.561341,0,2026-09-25T14:20:00+02:00,356,251,3610,0.098615,0.069529,oui
Z8CT3,BOUCLE,8,Bordeaux,33063,44.8462381,-0.5502641,15,2026-09-25T14:20:00+02:00,291,269,3767,0.077250,0.071410,oui
Z8CT18,BOUCLE,8,Bordeaux,33063,44.8532276,-0.5395948,6,2026-09-25T14:20:00+02:00,209,214,2809,0.074404,0.076184,oui
Z8CT17,BOUCLE,8,Cenon,33119,44.8587369,-0.5301693,21,2026-09-25T14:20:00+02:00,445,353,6388,0.069662,0.055260,oui
Z25CT24,BOUCLE,25,Bordeaux,33063,44.8773476,-0.5442623,3,2026-09-25T14:20:00+02:00,71,130,1042,0.068138,0.124760,oui
Z25CT12,BOUCLE,25,Bordeaux,33063,44.8727517,-0.576322,37,2026-09-25T14:20:00+02:00,590,707,7916,0.074533,0.089313,oui
Z25CT4,BOUCLE,25,Bordeaux,33063,44.886478,-0.5604764,,2012-11-29T13:16:20+01:00,,,,,,non
Z25CT1,BOUCLE,25,Bordeaux,33063,44.8909442,-0.5635556,21,2026-09-25T14:20:00+02:00,364,249,3717,0.097928,0.066990,oui
Z16CT2,BOUCLE,16,Pessac,33318,44.8101544,-0.6213496,29,2026-09-25T14:20:00+02:00,419,449,5216,0.080330,0.086081,oui
Z16CT6,BOUCLE,16,Pessac,33318,44.8059414,-0.6321666,22,2026-09-25T14:20:00+02:00,,,,,,non
Z16CT10,BOUCLE,16,Pessac,33318,44.8085464,-0.6314101,18,2026-09-25T14:20:00+02:00,467,533,5808,0.080406,0.091770,oui
Z10CT2,BOUCLE,10,Bordeaux,33063,44.8273029,-0.5923272,60,2026-09-25T14:20:00+02:00,768,848,11828,0.064931,0.071694,oui
Z10CT12,BOUCLE,10,Bordeaux,33063,44.8271287,-0.5949668,29,2026-09-25T14:20:00+02:00,413,308,4976,0.082998,0.061897,oui
Z10CT4,BOUCLE,10,Bordeaux,33063,44.8256255,-0.5896287,51,2026-09-25T14:20:00+02:00,,,,,,non
Z10CT3,BOUCLE,10,Talence,33522,44.8241803,-0.5873978,69,2026-09-25T14:20:00+02:00,853,808,12698,0.067176,0.063632,oui
Z10CT16,BOUCLE,10,Bordeaux,33063,44.8218025,-0.5941816,31,2026-09-25T14:20:00+02:00,,,,,,non
Z10CT9,BOUCLE,10,Talence,33522,44.8192005,-0.5986224,,2013-12-10T14:17:24+01:00,655,640,7462,0.087778,0.085768,oui
Z10CT18,BOUCLE,10,Bordeaux,33063,44.8239599,-0.5997032,0,2026-09-25T14:20:00+02:00,898,766,11726,0.076582,0.065325,oui
Z10CT21,BOUCLE,10,Bordeaux,33063,44.8215831,-0.6017786,0,2026-09-25T14:20:00+02:00,633,673,10536,0.060080,0.063876,oui
Z10CT23,BOUCLE,10,Bordeaux,33063,44.8221412,-0.6013777,0,2026-09-25T14:20:00+02:00,624,695,9675,0.064496,0.071835,oui
Z10CT10,BOUCLE,10,Bordeaux,33063,44.8261209,-0.588,,2013-12-10T14:18:00+01:00,,,,,,non
Z1003CT20,BOUCLE,10,Bordeaux,33063,44.8287153,-0.588199,,2012-11-29T14:18:56+01:00,,,,,,non
Z12AE,SIREDO,12,Bègles,33039,44.809918,-0.5626195,,2012-12-07T18:02:20+01:00,210,284,3410,0.061584,0.083284,oui
Z24AS,SIREDO,24,Eysines,33162,44.8641311,-0.661233,,2012-12-07T18:06:56+01:00,319,403,4668,0.068338,0.086332,oui
Z30CE,SIREDO,30,Mérignac,33281,44.8280339,-0.6701526,,2012-12-07T18:28:12+01:00,,,,,,non
Z30DSN,SIREDO,30,Mérignac,33281,44.827584,-0.638318,,2016-03-09T14:44:28+01:00,,,,,,non
Z30ENS,SIREDO,30,Mérignac,33281,44.8180161,-0.6486935,,2016-03-09T14:45:12+01:00,,,,,,non
Z07AE,SIREDO,7,Mérignac,33281,44.8419538,-0.6627416,,2014-03-07T10:05:12+01:00,392,848,9732,0.040279,0.087135,oui
Z07AS,SIREDO,7,Mérignac,33281,44.8420215,-0.6627592,,2014-03-07T10:05:04+01:00,626,569,9089,0.068874,0.062603,oui
Z05BE,SIREDO,5,Floirac,33167,44.8209103,-0.5319093,,2014-03-07T09:59:48+01:00,601,553,7944,0.075655,0.069612,oui
Z05AE,SIREDO,5,Bègles,33039,44.8148007,-0.535794,,2014-03-07T09:59:04+01:00,,,,,,non
Z17AE,SIREDO,17,Talence,33522,44.8069661,-0.591622,,2012-12-10T09:10:40+01:00,397,447,6358,0.062441,0.070305,oui
Z17BS,SIREDO,17,Talence,33522,44.7975333,-0.6012004,,2012-12-10T09:13:44+01:00,,,,,,non
Z17CS,SIREDO,17,Gradignan,33192,44.7883982,-0.6118538,,2012-12-10T09:15:12+01:00,,,,,,non
Z28CT7,BOUCLE,28,Saint-Médard-en-Jalles,33449,44.8881975,-0.7036716,16,2026-09-25T14:20:00+02:00,457,609,7161,0.063818,0.085044,oui
Z28CT9,BOUCLE,28,Saint-Médard-en-Jalles,33449,44.8960049,-0.7102543,,2012-11-20T16:51:04+01:00,,,,,,non
Z9CT6,BOUCLE,9,Bordeaux,33063,44.833267,-0.5963175,27,2026-09-25T14:20:00+02:00,479,436,6418,0.074634,0.067934,oui
Z9CT11,BOUCLE,9,Bordeaux,33063,44.8332866,-0.6018416,0,2026-09-25T14:20:00+02:00,621,652,9912,0.062651,0.065779,oui
Z9CT18,BOUCLE,9,Bordeaux,33063,44.8308136,-0.6027345,0,2026-09-25T14:20:00+02:00,614,666,9412,0.065236,0.070761,oui
Z9CT19,BOUCLE,9,Bordeaux,33063,44.8297447,-0.6032539,0,2026-09-25T14:20:00+02:00,,,,,,non
Z9CT15,BOUCLE,9,Bordeaux,33063,44.8279171,-0.6125429,29,2026-09-25T14:20:00+02:00,501,407,6419,0.078050,0.063406,oui
Z9CT16,BOUCLE,9,Mérignac,33281,44.8264868,-0.6162352,48,2026-09-25T14:20:00+02:00,417,544,7106,0.058683,0.076555,oui
Z9CT14,BOUCLE,9,Mérignac,33281,44.8265605,-0.6209141,36,2026-09-25T14:20:00+02:00,419,460,6800,0.061618,0.067647,oui
Z9CT17,BOUCLE,9,Mérignac,33281,44.826294,-0.6239714,33,2026-09-25T14:20:00+02:00,431,468,7150,0.060280,0.065455,oui
Z7CT1,BOUCLE,7,Mérignac,33281,44.8395134,-0.637112,0,2026-09-25T14:20:00+02:00,,,,,,non
Z7CT6,BOUCLE,7,Mérignac,33281,44.8409159,-0.642669,28,2026-09-25T14:20:00+02:00,,,,,,non
Z7CT5,BOUCLE,7,Mérignac,33281,44.8416524,-0.6487828,,2012-11-20T17:27:44+01:00,,,,,,non
Z2CT18,BOUCLE,2,Bordeaux,33063,44.8349896,-0.5744029,0,2026-09-25T14:20:00+02:00,262,378,4562,0.057431,0.082858,oui
Z2CT6,BOUCLE,2,Bordeaux,33063,44.8342954,-0.5756362,4,2026-09-25T14:20:00+02:00,97,108,1560,0.062179,0.069231,oui
Z2CT5,BOUCLE,2,Bordeaux,33063,44.8360294,-0.5822065,37,2026-09-25T14:20:00+02:00,73,128,1378,0.052975,0.092888,oui
Z2CT12,BOUCLE,2,Bordeaux,33063,44.8347975,-0.5786524,25,2026-09-25T14:20:00+02:00,296,293,4536,0.065256,0.064594,oui
Z2CT17,BOUCLE,2,Bordeaux,33063,44.8361237,-0.5664178,21,2026-09-25T14:20:00+02:00,393,480,6614,0.059419,0.072573,oui
Z2CT11,BOUCLE,2,Bordeaux,33063,44.8353907,-0.5806023,0,2026-09-25T14:20:00+02:00,476,419,7257,0.065592,0.057737,oui
Z201CT14,BOUCLE,2,Bordeaux,33063,44.8357876,-0.5807869,0,2026-09-25T14:20:00+02:00,,,,,,non
Z2CT8,BOUCLE,2,Bordeaux,33063,44.8356711,-0.5841442,48,2026-09-25T14:20:00+02:00,,,,,,non
Z201CT12,BOUCLE,2,Bordeaux,33063,44.8377188,-0.5813609,29,2026-09-25T14:20:00+02:00,,,,,,non
Z201CT13,BOUCLE,2,Bordeaux,33063,44.8379451,-0.581515,47,2026-09-25T14:20:00+02:00,,,,,,non
Z31CT3,BOUCLE,31,Lormont,33249,44.8864507,-0.5173751,11,2026-09-25T14:20:00+02:00,302,291,4164,0.072526,0.069885,oui
Z1CT5,BOUCLE,1,Bordeaux,33063,44.8393569,-0.5680194,55,2026-09-25T14:20:00+02:00,1291,1083,16376,0.078835,0.066133,oui
Z1CT3,BOUCLE,1,Bordeaux,33063,44.8445919,-0.5705931,5,2026-09-25T14:20:00+02:00,177,307,2688,0.065848,0.114211,oui
Z19CT3,BOUCLE,19,Villenave-d'Ornon,33550,44.7884605,-0.5666828,25,2026-09-25T14:20:00+02:00,469,492,7087,0.066178,0.069423,oui
Z19CT1,BOUCLE,19,Talence,33522,44.8075484,-0.5734752,53,2026-09-25T14:20:00+02:00,634,729,9212,0.068823,0.079136,oui
Z26CT1,BOUCLE,26,Bègles,33039,44.812543,-0.5593751,60,2026-09-25T14:20:00+02:00,696,747,13894,0.050094,0.053764,oui
Z26CT3,BOUCLE,26,Bordeaux,33063,44.8212881,-0.5515518,0,2026-09-25T14:20:00+02:00,324,253,4527,0.071571,0.055887,oui
Z14CT4,BOUCLE,14,Le Bouscat,33069,44.8672419,-0.5759689,31,2026-09-25T14:20:00+02:00,705,620,8377,0.084159,0.074012,oui
Z14CT7,BOUCLE,14,Bordeaux,33063,44.8683337,-0.5699995,101,2026-09-25T14:20:00+02:00,1271,1401,22929,0.055432,0.061102,oui
Z14CT11,BOUCLE,14,Bordeaux,33063,44.8635001,-0.5819972,57,2026-09-25T14:20:00+02:00,642,714,11872,0.054077,0.060142,oui
Z14CT12,BOUCLE,14,Bordeaux,33063,44.8675561,-0.5634319,55,2026-09-25T14:20:00+02:00,1012,1049,14989,0.067516,0.069985,oui
Z30CT2,BOUCLE,30,Mérignac,33281,44.8323384,-0.6601379,55,2026-09-25T14:20:00+02:00,,,,,,non
Z30CT3,BOUCLE,30,Mérignac,33281,44.832095,-0.6702818,35,2026-09-25T14:20:00+02:00,,,,,,non
Z30CT5,BOUCLE,30,Mérignac,33281,44.8329524,-0.6524277,53,2026-09-25T14:20:00+02:00,,,,,,non
Z08BE,SIREDO,8,Bordeaux,33063,44.8533314,-0.5547203,,2014-03-07T10:07:04+01:00,,,,,,non
Z26BE,SIREDO,26,Bègles,33039,44.8157469,-0.5486011,,2014-03-07T09:58:16+01:00,172,183,2432,0.070724,0.075247,oui
Z26CE,SIREDO,26,Bordeaux,33063,44.8199804,-0.5430566,,2015-06-09T17:13:08+02:00,,,,,,non
Z26CS,SIREDO,26,Bordeaux,33063,44.8200209,-0.5431076,,2015-06-09T17:12:56+02:00,,,,,,non
Z27BS,SIREDO,27,Pessac,33318,44.7959846,-0.6603789,,2012-12-11T09:10:24+01:00,384,428,5292,0.072562,0.080877,oui
Z27BE,SIREDO,27,Pessac,33318,44.7960263,-0.6603476,,2012-12-11T09:12:48+01:00,287,489,5362,0.053525,0.091197,oui
Z09AS,SIREDO,9,Mérignac,33281,44.8264724,-0.6174092,,2014-03-07T10:08:52+01:00,,,,,,non
Z10AS,SIREDO,10,Talence,33522,44.816376,-0.6006425,,2012-12-11T09:25:04+01:00,370,518,4694,0.078824,0.110354,oui
Z10BE,SIREDO,10,Bordeaux,33063,44.8222163,-0.606054,,2012-12-11T09:32:52+01:00,349,495,5391,0.064738,0.091820,oui
Z16BS,SIREDO,16,Pessac,33318,44.8054635,-0.6504536,,2012-12-12T16:49:52+01:00,482,474,6202,0.077717,0.076427,oui
Z16CS,SIREDO,16,Pessac,33318,44.7924126,-0.6479102,,2012-12-12T16:54:32+01:00,664,593,7979,0.083218,0.074320,oui
Z16DS,SIREDO,16,Pessac,33318,44.7891491,-0.6352927,,2012-12-12T16:57:20+01:00,,,,,,non
Z27CT2,BOUCLE,27,Pessac,33318,44.7996042,-0.662058,23,2026-09-25T14:20:00+02:00,570,579,6468,0.088126,0.089518,oui
Z15CT15,BOUCLE,15,Bordeaux,33063,44.8506685,-0.5786026,,2016-04-01T17:32:28+02:00,,,,,,non
