ident,commune,type,comptage_5m,indice_congestion_matin,indice_congestion_soir,compteur_latitude,compteur_longitude,stop_id,stop_name,distance_arret_m,lignes_tbm
Z24CT5,Le Haillan,BOUCLE,38,0.103040,0.090240,44.8684058,-0.6711977,6411,Bechade,100.1,71
Z24CT5,Le Haillan,BOUCLE,38,0.103040,0.090240,44.8684058,-0.6711977,9674,Collège Andrée Chédid,252.3,S11;S17
Z24CT5,Le Haillan,BOUCLE,38,0.103040,0.090240,44.8684058,-0.6711977,1051,Collège Emile Zola,154.8,71;S11;S17
Z24CT5,Le Haillan,BOUCLE,38,0.103040,0.090240,44.8684058,-0.6711977,2998,Collège Emile Zola,150.4,71;S11;S17
Z24CT5,Le Haillan,BOUCLE,38,0.103040,0.090240,44.8684058,-0.6711977,8271,Collège Emile Zola,113.0,72
Z24CT5,Le Haillan,BOUCLE,38,0.103040,0.090240,44.8684058,-0.6711977,9159,Collège Emile Zola,23.0,G
Z24CT5,Le Haillan,BOUCLE,38,0.103040,0.090240,44.8684058,-0.6711977,9160,Collège Emile Zola,23.5,G
Z24CT5,Le Haillan,BOUCLE,38,0.103040,0.090240,44.8684058,-0.6711977,2596,Mermoz,261.8,71
Z24CT5,Le Haillan,BOUCLE,38,0.103040,0.090240,44.8684058,-0.6711977,9162,Mermoz,296.7,G
Z24CT2,Eysines,BOUCLE,29,,,44.863922,-0.6603229,2991,Saint-Exupéry,16.4,72
Z24CT2,Eysines,BOUCLE,29,,,44.863922,-0.6603229,9165,Saint-Exupéry,19.0,G
Z24CT2,Eysines,BOUCLE,29,,,44.863922,-0.6603229,9166,Saint-Exupéry,40.7,G
Z24CT2,Eysines,BOUCLE,29,,,44.863922,-0.6603229,981,Saint-Exupéry,41.2,72
Z24CT4,Le Haillan,BOUCLE,22,,,44.8778901,-0.681077,1012,Bernède,241.7,84
Z24CT4,Le Haillan,BOUCLE,22,,,44.8778901,-0.681077,61,Bernède,252.7,84
Z24CT4,Le Haillan,BOUCLE,22,,,44.8778901,-0.681077,9155,Rue du Médoc,4.6,G
Z24CT4,Le Haillan,BOUCLE,22,,,44.8778901,-0.681077,9156,Rue du Médoc,69.4,G
Z24CT4,Le Haillan,BOUCLE,22,,,44.8778901,-0.681077,9330,Rue du Médoc,168.3,39 Est;71;84
Z24CT4,Le Haillan,BOUCLE,22,,,44.8778901,-0.681077,9331,Rue du Médoc,135.5,39 Est;71
Z24CT4,Le Haillan,BOUCLE,22,,,44.8778901,-0.681077,211,Turenne,261.1,84
Z24CT4,Le Haillan,BOUCLE,22,,,44.8778901,-0.681077,243,Turenne,262.9,84
Z6CT3,Bordeaux,BOUCLE,59,0.055031,0.068280,44.8347986,-0.5987533,2468,Allée des Pins,294.6,1
Z6CT3,Bordeaux,BOUCLE,59,0.055031,0.068280,44.8347986,-0.5987533,1323,Barrière d'Arès,141.2,9;H2
Z6CT3,Bordeaux,BOUCLE,59,0.055031,0.068280,44.8347986,-0.5987533,2327,Barrière d'Arès,118.6,9;H1
Z6CT3,Bordeaux,BOUCLE,59,0.055031,0.068280,44.8347986,-0.5987533,2469,Barrière d'Arès,202.8,1;51;70
Z6CT3,Bordeaux,BOUCLE,59,0.055031,0.068280,44.8347986,-0.5987533,1094,Barrière Saint-Augustin,54.1,9;H2
Z6CT3,Bordeaux,BOUCLE,59,0.055031,0.068280,44.8347986,-0.5987533,1758,Barrière Saint-Augustin,119.8,9;H1
Z6CT3,Bordeaux,BOUCLE,59,0.055031,0.068280,44.8347986,-0.5987533,9240,Barrière Saint-Augustin,173.1,55;80;Bus F
Z6CT3,Bordeaux,BOUCLE,59,0.055031,0.068280,44.8347986,-0.5987533,9241,Barrière Saint-Augustin,190.6,55;80;Bus F
Z6CT4,Bordeaux,BOUCLE,,,,44.8387194,-0.5991125,1323,Barrière d'Arès,296.3,9;H2
Z6CT4,Bordeaux,BOUCLE,,,,44.8387194,-0.5991125,2469,Barrière d'Arès,246.9,1;51;70
Z6CT4,Bordeaux,BOUCLE,,,,44.8387194,-0.5991125,1610,Barrière Judaïque,186.0,1;16;51;N3
Z6CT4,Bordeaux,BOUCLE,,,,44.8387194,-0.5991125,2328,Barrière Judaïque,218.4,70;9;H1
Z6CT4,Bordeaux,BOUCLE,,,,44.8387194,-0.5991125,2341,Barrière Judaïque,93.0,70;9;H2
Z6CT4,Bordeaux,BOUCLE,,,,44.8387194,-0.5991125,773,Lartigue,269.5,1;16;70
Z6CT2,Bordeaux,BOUCLE,65,0.067572,0.059276,44.839874,-0.5993177,1610,Barrière Judaïque,87.3,1;16;51;N3
Z6CT2,Bordeaux,BOUCLE,65,0.067572,0.059276,44.839874,-0.5993177,2328,Barrière Judaïque,90.1,70;9;H1
Z6CT2,Bordeaux,BOUCLE,65,0.067572,0.059276,44.839874,-0.5993177,2341,Barrière Judaïque,36.7,70;9;H2
Z6CT2,Bordeaux,BOUCLE,65,0.067572,0.059276,44.839874,-0.5993177,2342,Cité Administrative,190.9,70;9;H2;N3
Z6CT2,Bordeaux,BOUCLE,65,0.067572,0.059276,44.839874,-0.5993177,2420,Cité administrative,200.3,16
Z6CT2,Bordeaux,BOUCLE,65,0.067572,0.059276,44.839874,-0.5993177,773,Lartigue,215.4,1;16;70
Z6CT2,Bordeaux,BOUCLE,65,0.067572,0.059276,44.839874,-0.5993177,2095,Moulin Rouge,277.0,1;16
Z6CT5,Bordeaux,BOUCLE,0,,,44.8407057,-0.5928835,354,Chevalier,173.5,16
Z6CT5,Bordeaux,BOUCLE,0,,,44.8407057,-0.5928835,1332,Dutertre,5.2,1;16;70
Z6CT5,Bordeaux,BOUCLE,0,,,44.8407057,-0.5928835,856,Dutertre,39.9,82
Z6CT5,Bordeaux,BOUCLE,0,,,44.8407057,-0.5928835,799,Kieser,243.4,82
Z6CT5,Bordeaux,BOUCLE,0,,,44.8407057,-0.5928835,1259,Lartigue,237.4,16
Z6CT5,Bordeaux,BOUCLE,0,,,44.8407057,-0.5928835,735,Piscine Judaïque,164.2,1;16;51
Z6CT5,Bordeaux,BOUCLE,0,,,44.8407057,-0.5928835,915,Piscine Judaïque,206.6,82
Z6CT6,Bordeaux,BOUCLE,0,,,44.8400555,-0.6013362,1610,Barrière Judaïque,77.6,1;16;51;N3
Z6CT6,Bordeaux,BOUCLE,0,,,44.8400555,-0.6013362,2328,Barrière Judaïque,180.2,70;9;H1
Z6CT6,Bordeaux,BOUCLE,0,,,44.8400555,-0.6013362,2341,Barrière Judaïque,169.8,70;9;H2
Z6CT6,Bordeaux,BOUCLE,0,,,44.8400555,-0.6013362,2342,Cité Administrative,219.1,70;9;H2;N3
Z6CT6,Bordeaux,BOUCLE,0,,,44.8400555,-0.6013362,2420,Cité administrative,178.2,16
Z6CT6,Bordeaux,BOUCLE,0,,,44.8400555,-0.6013362,2095,Moulin Rouge,118.4,1;16
Z6CT6,Bordeaux,BOUCLE,0,,,44.8400555,-0.6013362,5380,Moulin Rouge,171.3,73
Z6CT19,Bordeaux,BOUCLE,31,0.073828,0.080286,44.8395507,-0.6078614,2453,Clinique Bel Air,51.3,1;73
Z6CT19,Bordeaux,BOUCLE,31,0.073828,0.080286,44.8395507,-0.6078614,5424,Clinique Bel Air,39.8,16
Z6CT19,Bordeaux,BOUCLE,31,0.073828,0.080286,44.8395507,-0.6078614,2454,Etchénique,282.6,1;73
